ID,Site,Context,Country,Longitude,Latitude,Condition,ATU,ATU2,NAT,Reference(s),Site Type,Dating Method,Event (Rasmussen et al. 2014),Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Method,AGE,STD (±),ID,Chronozone (Relative),Relative Date (method),LTP Association,TP present,Burinated,Tephra Association,File Type,Scale,Out,Ldk,RD,FN,Additional Information,OTT,Continuous vs. Discontinuous,Retouch position
1,Abbensen/Wedemark,Abbensen/Wedemark,Germany,10.22,52.38,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Schwarz-Mackensen 1978a,Surface Collection,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abbensen_Wedemark_1,,Y,Continuous,Right
2,Abri Allerberg,Abri Allerberg (3B),Germany,9.94,51.48,Whole,Unspecified,Unspecified,Malaurie Point,Grote 1982; Grote 1994,Excavation,Relative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pre-Allerod,Fauna,N,-,N,N,2D,Y,X,,N,Abri_Allerberg_3B_1,,Y,Continuous,Right
3,Abri de la Roche-aux-Gours,Abri de la Roche-aux-Gours,France,6.61,47.43,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Piningre and Vuaillt 1976; Thevenin 1982a,Excavation,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,N,-,N,N,2D,Y,X,,N,Abri_de_la_Roche_aux_Gours_1,,Y,Discontinuous,Right
4,Abri des Cabones / Abri du Colonel Martin,Abri des Cabones / Abri du Colonel Martin,France,5.83,47.14,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Milotte 1958; Milotte 1979; Thevenin 1982a; David 1984,Excavation,Combined,,,11520,191,Ly-3079,,12620,250,Ly-2296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle-Late Allerod,Typology,N,-,N,N,2D,Y,X,,N,Abri_des_Cabones_1,,Y,Continuous,Right
5,Abri des Cabones / Abri du Colonel Martin,Abri des Cabones / Abri du Colonel Martin,France,5.83,47.14,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Milotte 1958; Milotte 1979; Thevenin 1982a; David 1984,Excavation,Combined,,,11520,191,Ly-3079,,12620,250,Ly-2296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle-Late Allerod,Typology,N,-,N,N,2D,Y,X,,N,Abri_des_Cabones_10,,Y,Continuous,Left
6,Abri des Cabones / Abri du Colonel Martin,Abri des Cabones / Abri du Colonel Martin,France,5.83,47.14,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Milotte 1958; Milotte 1979; Thevenin 1982a; David 1984,Excavation,Combined,,,11520,191,Ly-3079,,12620,250,Ly-2296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle-Late Allerod,Typology,N,-,N,N,2D,Y,X,,N,Abri_des_Cabones_2,,Y,Continuous,Left
7,Abri des Cabones / Abri du Colonel Martin,Abri des Cabones / Abri du Colonel Martin,France,5.83,47.14,Whole,Unspecified,Unspecified,Ranis Point,Milotte 1958; Milotte 1979; Thevenin 1982a; David 1984,Excavation,Combined,,,11520,191,Ly-3079,,12620,250,Ly-2296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle-Late Allerod,Typology,N,-,N,N,2D,Y,X,,N,Abri_des_Cabones_3,,Y,Continuous,Right
8,Abri des Cabones / Abri du Colonel Martin,Abri des Cabones / Abri du Colonel Martin,France,5.83,47.14,Whole,Unspecified,Unspecified,Creswellian Point,Milotte 1958; Milotte 1979; Thevenin 1982a; David 1984,Excavation,Combined,,,11520,191,Ly-3079,,12620,250,Ly-2296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle-Late Allerod,Typology,N,-,N,N,2D,Y,X,,N,Abri_des_Cabones_4,,Y,Continuous,Left
9,Abri des Cabones / Abri du Colonel Martin,Abri des Cabones / Abri du Colonel Martin,France,5.83,47.14,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Milotte 1958; Milotte 1979; Thevenin 1982a; David 1984,Excavation,Combined,,,11520,191,Ly-3079,,12620,250,Ly-2296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle-Late Allerod,Typology,N,-,N,N,2D,Y,X,,N,Abri_des_Cabones_5,,Y,Continuous,Left
10,Abri des Cabones / Abri du Colonel Martin,Abri des Cabones / Abri du Colonel Martin,France,5.83,47.14,Whole,Unspecified,Unspecified,Backed Point (Unspecified),Milotte 1958; Milotte 1979; Thevenin 1982a; David 1984,Excavation,Combined,,,11520,191,Ly-3079,,12620,250,Ly-2296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle-Late Allerod,Typology,N,-,N,N,2D,Y,X,,N,Abri_des_Cabones_6,,N,Continuous,Right
