ID,IMAGE,Site,HGROUP,SHOULDER
1,CH - Ahrenshöft LA58c 1.jpg',Ahrenshöft LA58c,CH,R
2,'CH - Ahrenshöft LA79 1.jpg',Ahrenshöft LA79,CH,R
3,'CH - Borneck 1.jpg',Borneck,CH,L
4,'CH - Borneck 10.jpg',Borneck,CH,R
5,'CH - Borneck 11.jpg',Borneck,CH,R
6,'CH - Borneck 12.jpg',Borneck,CH,R
7,'CH - Borneck 13.jpg',Borneck,CH,L
8,'CH - Borneck 14.jpg',Borneck,CH,R
9,'CH - Borneck 15.jpg',Borneck,CH,R
10,'CH - Borneck 16.jpg',Borneck,CH,R
11,'CH - Borneck 17.jpg',Borneck,CH,R
12,'CH - Borneck 2.jpg',Borneck,CH,L
13,'CH - Borneck 3.jpg',Borneck,CH,L
14,'CH - Borneck 4.jpg',Borneck,CH,L
15,'CH - Borneck 5.jpg',Borneck,CH,R
16,'CH - Borneck 6.jpg',Borneck,CH,R
17,'CH - Borneck 7.jpg',Borneck,CH,R
18,'CH - Borneck 8.jpg',Borneck,CH,R
19,'CH - Borneck 9.jpg',Borneck,CH,R
20,'CH - Deimern42 1.jpg',Deimern42,CH,L
21,'CH - Deimern42 10.jpg',Deimern42,CH,L
22,'CH - Deimern42 11.jpg',Deimern42,CH,R
23,'CH - Deimern42 12.jpg',Deimern42,CH,R
24,'CH - Deimern42 13.jpg',Deimern42,CH,R
25,'CH - Deimern42 14.jpg',Deimern42,CH,L
26,'CH - Deimern42 15.jpg',Deimern42,CH,R
27,'CH - Deimern42 16.jpg',Deimern42,CH,R
28,'CH - Deimern42 17.jpg',Deimern42,CH,L
29,'CH - Deimern42 18.jpg',Deimern42,CH,L
30,'CH - Deimern42 19.jpg',Deimern42,CH,L
31,'CH - Deimern42 2.jpg',Deimern42,CH,L
32,'CH - Deimern42 20.jpg',Deimern42,CH,R
33,'CH - Deimern42 21.jpg',Deimern42,CH,L
34,'CH - Deimern42 22.jpg',Deimern42,CH,R
35,'CH - Deimern42 3.jpg',Deimern42,CH,L
36,'CH - Deimern42 4.jpg',Deimern42,CH,L
37,'CH - Deimern42 5.jpg',Deimern42,CH,R
38,'CH - Deimern42 6.jpg',Deimern42,CH,R
39,'CH - Deimern42 7.jpg',Deimern42,CH,R
40,'CH - Deimern42 8.jpg',Deimern42,CH,R
41,'CH - Deimern42 9.jpg',Deimern42,CH,R
42,'CH - Duurswoude4 1.jpg',Duurswoude4,CH,R
43,'CH - Duurswoude4 2.jpg',Duurswoude4,CH,R
44,'CH - Hasewisch 1.jpg',Hasewisch,CH,M
45,'CH - Hasewisch 10.jpg',Hasewisch,CH,L
46,'CH - Hasewisch 11.jpg',Hasewisch,CH,R
47,'CH - Hasewisch 12.jpg',Hasewisch,CH,R
48,'CH - Hasewisch 13.jpg',Hasewisch,CH,R
49,'CH - Hasewisch 14.jpg',Hasewisch,CH,R
50,'CH - Hasewisch 15.jpg',Hasewisch,CH,L
51,'CH - Hasewisch 16.jpg',Hasewisch,CH,R
52,'CH - Hasewisch 2.jpg',Hasewisch,CH,L
53,'CH - Hasewisch 3.jpg',Hasewisch,CH,L
54,'CH - Hasewisch 4.jpg',Hasewisch,CH,L
55,'CH - Hasewisch 5.jpg',Hasewisch,CH,R
56,'CH - Hasewisch 6.jpg',Hasewisch,CH,R
57,'CH - Hasewisch 7.jpg',Hasewisch,CH,R
58,'CH - Hasewisch 8.jpg',Hasewisch,CH,L
59,'CH - Hasewisch 9.jpg',Hasewisch,CH,R
60,'CH - Heber118 1.jpg',Heber118,CH,L
61,'CH - Heber118 10.jpg',Heber118,CH,R
62,'CH - Heber118 11.jpg',Heber118,CH,L
